symbol,underlying_price,composite_iv_30d_pct,lower_dte,upper_dte,contracts_used,status
META,644.3800,38.5024,29,36,12,interpolated
GOOGL,332.6000,29.8748,29,36,12,interpolated
NFLX,76.0100,32.2990,29,36,12,interpolated
TTWO,216.9600,38.4162,29,36,12,interpolated
AMZN,251.8900,30.4965,29,36,12,interpolated
TSLA,363.5600,40.8100,29,36,12,interpolated
HD,305.6900,24.9193,29,36,12,interpolated
WMT,105.7300,22.6525,29,36,12,interpolated
COST,902.3800,23.4567,29,36,12,interpolated
BRK.B,,,,,0,"HTTP 400: {""errors"":[{""id"":""8ebbaae5-ce3a-4563-97dd-4f2d0fac1c4a"",""status"":""400"",""title"":""Bad Request"",""detail"":""Check Param Values"",""source"":{""parameter"":""Invalid Paramter/Value""}}]}"
JPM,353.5600,23.0252,29,36,12,interpolated
V,367.2100,20.2720,29,36,12,interpolated
MA,565.3700,20.8463,29,36,12,interpolated
BAC,62.5600,23.4572,29,36,12,interpolated
XOM,165.2300,29.1434,29,36,12,interpolated
CVX,212.7600,26.7878,29,36,12,interpolated
COP,137.0400,30.8466,29,36,12,interpolated
WMB,72.8200,27.0682,29,36,12,interpolated
MPC,392.4200,46.1558,8,36,12,interpolated
CAT,805.0000,35.9348,29,36,12,interpolated
GE,324.1500,31.1257,29,36,12,interpolated
GEV,923.9100,44.1252,29,36,12,interpolated
LLY,1123.0000,32.1388,29,36,12,interpolated
JNJ,266.3500,23.2900,29,36,12,interpolated
ABBV,255.0000,25.1454,29,36,12,interpolated
UNH,388.2800,32.1663,29,36,12,interpolated
MRK,144.7100,28.6440,29,36,12,interpolated
NVDA,218.3600,33.9301,29,36,12,interpolated
APPL,,,,,0,"HTTP 400: {""errors"":[{""id"":""4cbb1df5-4005-4244-a021-21ee38913776"",""status"":""400"",""title"":""Bad Request"",""detail"":""Check Param Values"",""source"":{""parameter"":""Invalid Paramter/Value""}}]}"
MSFT,492.4400,25.4222,29,36,12,interpolated
AVGO,360.8300,36.3189,29,36,12,interpolated
ADBE,248.8300,55.1457,29,36,12,interpolated
MU,977.4100,61.9880,29,36,12,interpolated
QQQ,708.6900,18.9092,29,36,12,interpolated
SQQQ,39.9000,64.0865,29,36,12,interpolated
MNQU26,,,,,0,"HTTP 400: {""errors"":[{""id"":""ee53f798-b0b6-42e6-b1c8-0ab7373e845a"",""status"":""400"",""title"":""Bad Request"",""detail"":""Check Param Values"",""source"":{""parameter"":""Invalid Paramter/Value""}}]}"
SPY,757.8300,13.1947,29,36,12,interpolated
SOXL,115.7600,113.6011,29,36,12,interpolated
SOXX,517.4300,38.1431,29,36,12,interpolated
SOXS,46.7400,121.2092,29,36,12,interpolated
AMD,503.6000,49.8361,29,36,12,interpolated
QCOM,176.8800,46.5082,29,36,12,interpolated
INTC,100.3200,61.8169,29,36,12,interpolated
SNDK,1692.5900,72.8849,29,36,12,interpolated
MRVL,226.9600,65.6291,29,36,12,interpolated
ORCL,152.9400,73.4420,29,36,12,interpolated
ARM,254.1800,65.2787,29,36,12,interpolated
WDC,460.9300,67.2001,29,36,12,interpolated
STX,862.3300,66.8657,29,36,12,interpolated
DELL,506.6200,59.3409,29,36,12,interpolated
IBM,234.0200,33.7172,29,36,12,interpolated
PLTR,165.8600,47.3893,29,36,12,interpolated
CRM,243.0000,39.3883,29,36,12,interpolated
CRWD,208.8600,52.4416,29,36,12,interpolated
PANW,338.4900,48.7199,29,36,12,interpolated
NOW,131.1700,53.2777,29,36,12,interpolated
INTU,312.7700,47.0273,29,36,12,interpolated
SPCX,148.1800,51.9044,29,36,12,interpolated
CRCL,90.3200,76.8790,29,36,12,interpolated
TSM,428.0300,33.6315,29,36,12,interpolated
SMH,560.2800,33.6156,29,36,12,interpolated
GLD,396.3600,24.4658,29,36,12,interpolated
XLF,56.8700,16.9211,29,36,12,interpolated
TQQQ,69.2100,59.9178,29,36,12,interpolated
IBIT,43.6800,37.9234,29,36,12,interpolated
XLE,64.9300,22.9267,29,36,12,interpolated
EEM,67.0000,22.7679,29,36,12,interpolated
DRAM,58.5600,63.7875,29,36,12,interpolated
